cliente_id;nome;email;telefone;data_nascimento
1;Ana Beatriz de Oliveira;ana.oliveira@exemplo.com;(19) 8061-4084;13/05/1989
2;Felipe Martins Carvalho;felipe.carvalho@exemplo.com;(19) 4108-8056;14/08/1996
3;Ricardo Neves;ricardo.neves@exemplo.com;(19) 9455-4901;18/05/1974
4;Lucas Ferreira Lima;lucas.lima@exemplo.com;(19) 9449-9447;24/10/1995
5;Matheus Henrique de Souza;matheus.souza@exemplo.com;(19) 9831-5430;07/07/1978
6;André Luiz Santos;andré.santos@exemplo.com;(19) 7198-5372;08/08/1987
7;Jorge Fernandes;jorge.fernandes@exemplo.com;(19) 5221-5481;12/02/2003
8;Sérgio Rocha;sérgio.rocha@exemplo.com;(19) 2445-9595;02/08/1965
9;Isabela Ferreira;isabela.ferreira@exemplo.com;(19) 2040-5828;18/02/1983
10;Camila Rocha;camila.rocha@exemplo.com;(19) 2202-3806;19/04/1998
11;Maria Clara dos Santos;maria.santos@exemplo.com;(19) 9286-4965;14/04/1991
12;Leonardo Martins;leonardo.martins@exemplo.com;(19) 6397-4307;09/01/1976
13;Márcio Silva;márcio.silva@exemplo.com;(19) 9362-6482;04/10/1997
14;Gustavo Henrique;gustavo.henrique@exemplo.com;(19) 3139-2629;08/12/1975
15;Vinícius Costa;vinícius.costa@exemplo.com;(19) 6281-6545;01/10/1972
16;Heitor Vilela;heitor.vilela@exemplo.com;(19) 8675-4934;03/03/2004
17;Oscar Neto;oscar.neto@exemplo.com;(19) 4008-6016;16/09/1966
18;Ricardo Neves;ricardo.neves@exemplo.com;(19) 8486-2659;03/06/1974
19;Eduardo Pereira Gomes;eduardo.gomes@exemplo.com;(19) 5070-3711;02/10/1966
20;Roberto Souza;roberto.souza@exemplo.com;(19) 5680-8011;19/11/2000
21;Lucas Ferreira Lima;lucas.lima@exemplo.com;(19) 7797-3541;03/05/1995
22;Matheus Henrique de Souza;matheus.souza@exemplo.com;(19) 8039-7403;18/04/1978
23;André Luiz Santos;andré.santos@exemplo.com;(19) 4837-2466;25/11/1987
24;Carla Dias;carla.dias@exemplo.com;(19) 9513-5544;21/11/1995
25;Jorge Fernandes;jorge.fernandes@exemplo.com;(19) 6387-3996;05/06/2003
26;Sérgio Rocha;sérgio.rocha@exemplo.com;(19) 3703-8807;20/03/1965
27;Maria Clara dos Santos;maria.santos@exemplo.com;(19) 8959-8304;17/03/1991
28;Leonardo Martins;leonardo.martins@exemplo.com;(19) 4043-3085;06/01/1976
29;Márcio Silva;márcio.silva@exemplo.com;(19) 8053-6051;12/02/1997
30;Vinícius Costa;vinícius.costa@exemplo.com;(19) 6932-1313;21/05/1972
31;Heitor Vilela;heitor.vilela@exemplo.com;(19) 6487-6494;26/04/2004
32;Ricardo Neves;ricardo.neves@exemplo.com;(19) 7268-9205;07/03/1974
33;Lucas Ferreira Lima;lucas.lima@exemplo.com;(19) 6336-1476;12/05/1995
34;Matheus Henrique de Souza;matheus.souza@exemplo.com;(19) 3877-3169;04/05/1978
35;André Luiz Santos;andré.santos@exemplo.com;(19) 5440-2295;06/06/1987
36;Jorge Fernandes;jorge.fernandes@exemplo.com;(19) 6682-7456;09/01/2003
37;Sérgio Rocha;sérgio.rocha@exemplo.com;(19) 5532-9546;13/05/1965
38;Maria Clara dos Santos;maria.santos@exemplo.com;(19) 7765-5777;15/10/1991
39;Leonardo Martins;leonardo.martins@exemplo.com;(19) 5350-7031;19/03/1976
40;Márcio Silva;márcio.silva@exemplo.com;(19) 6086-2068;13/06/1997
41;Vinícius Costa;vinícius.costa@exemplo.com;(19) 7038-8283;27/09/1972
42;Heitor Vilela;heitor.vilela@exemplo.com;(19) 4423-1250;21/10/2004
43;Ricardo Neves;ricardo.neves@exemplo.com;(19) 1221-8157;27/07/1974
44;Lucas Ferreira Lima;lucas.lima@exemplo.com;(19) 4360-2526;26/07/1995
45;Matheus Henrique de Souza;matheus.souza@exemplo.com;(19) 1081-3726;20/03/1978
46;André Luiz Santos;andré.santos@exemplo.com;(19) 3635-9265;14/08/1987
47;Jorge Fernandes;jorge.fernandes@exemplo.com;(19) 2534-1765;26/07/2003
48;Sérgio Rocha;sérgio.rocha@exemplo.com;(19) 2232-3499;22/05/1965
49;Maria Clara dos Santos;maria.santos@exemplo.com;(19) 4057-8544;14/08/1991
50;Leonardo Martins;leonardo.martins@exemplo.com;(19) 4718-3611;13/06/1976
51;Márcio Silva;márcio.silva@exemplo.com;(19) 2104-7193;13/09/1997
52;Vinícius Costa;vinícius.costa@exemplo.com;(19) 4850-9946;28/06/1972
53;Heitor Vilela;heitor.vilela@exemplo.com;(19) 4049-8314;06/08/2004
54;Ricardo Neves;ricardo.neves@exemplo.com;(19) 9156-2430;27/04/1974
55;Lucas Ferreira Lima;lucas.lima@exemplo.com;(19) 2087-3955;02/08/1995
56;Matheus Henrique de Souza;matheus.souza@exemplo.com;(19) 1394-3110;28/11/1978
57;André Luiz Santos;andré.santos@exemplo.com;(19) 5910-4995;07/04/1987
